artist,black,woman
Aretha Franklin,TRUE,TRUE
Public Enemy,TRUE,
Sam Cooke,TRUE,
Bob Dylan,,
Nirvana,,
Marvin Gaye,TRUE,
The Beatles,,
Missy Elliott,TRUE,
Fleetwood Mac,,
Outkast,TRUE,
The Beach Boys,,
Stevie Wonder,TRUE,
The Rolling Stones,,
The Kinks,,
Beyoncé feat. Jay-Z,TRUE,
Queen,,
Prince and the Revolution,TRUE,
John Lennon,,
Robyn,,
Billie Holiday,TRUE,
The Ronettes,TRUE,
David Bowie,,
Kanye West feat. Pusha T,TRUE,
Joni Mitchell,,
Bruce Springsteen,,
Talking Heads,,
Dr. Dre feat. Snoop Doggy Dogg,TRUE,
Lorde,,
Notorious B.I.G.,TRUE,
Chuck Berry,TRUE,
James Brown,TRUE,
Little Richard,TRUE,
The White Stripes,,
Otis Redding,TRUE,
The Jimi Hendrix Experience,TRUE,
Joy Division,,
Bob Marley and the Wailers,TRUE,
The Temptations,TRUE,
Michael Jackson,,
Kendrick Lamar,TRUE,
M.I.A.,,
Elton John,,
Radiohead,,
Lauryn Hill,TRUE,
Daddy Yankee feat. Glory,,
Dionne Warwick,TRUE,
Donna Summer,TRUE,
Smokey Robinson and the Miracles,TRUE,
Madonna,,
Sly and the Family Stone,TRUE,
The Band,,
Grandmaster Flash and the Furious Five,TRUE,
Kate Bush,,
Led Zeppelin,,
U2,,
Dolly Parton,,
Ramones,,
"Earth, Wind, and Fire",TRUE,
Simon and Garfunkel,,
Chic,TRUE,
Taylor Swift,,
Elvis Presley,,
Tracy Chapman,TRUE,
Beyoncé,TRUE,
Leonard Cohen,,
Pulp,,
Johnny Cash,,
The Modern Lovers,,
The Four Tops,TRUE,
Amy Winehouse,,
Ray Charles,TRUE,
The Velvet Underground,,
Adele,,
Al Green,TRUE,
Prince,TRUE,
LCD Soundsystem,,
Guns N' Roses,,
UGK feat. Outkast,TRUE,
Kelly Clarkson,,
Whitney Houston,TRUE,
Oasis,,
Jay-Z,TRUE,
Patti Smith,,
Bee Gees,,
Yeah Yeah Yeahs,,
Alanis Morissette,,
The Jackson 5,TRUE,
Wu-Tang Clan,TRUE,
The Cure,,
R.E.M.,,
Britney Spears,,
Etta James,TRUE,
Rob Base and DJ E-Z Rock,TRUE,
X-Ray Spex,,
The Impressions,TRUE,
Buddy Holly,,
Sex Pistols,,
George Michael,,
TLC,TRUE,
Drake feat. Majid Jordan,TRUE,
Martha and the Vandellas,TRUE,
Ben E. King,TRUE,
Eric B. and Rakim,TRUE,
Journey,,
Tina Turner,TRUE,
Ariana Grande,,
Blondie,,
Rod Stewart,,
George Jones,,
The Clash,,
James Taylor,,
Fats Domino,TRUE,
Green Day,,
The Shirelles,TRUE,TRUE
Creedence Clearwater Revival,,
Rick James,TRUE,
Howlin’ Wolf,TRUE,
The Strokes,,
The Kingsmen,,
Sonic Youth,,
The Meters,TRUE,
The Who,,
Nick Drake,,
Hank Williams,,
Mott the Hoople,,
Eminem,,
Dusty Springfield,,
Tom Petty and the Heartbreakers,,
The Five Satins,TRUE,
Louis Armstrong,TRUE,
Nina Simone,TRUE,
Television,,
The Flamingos,TRUE,
Van Halen,,
Billie Eilish,,
Pink Floyd,,
Lou Reed,,
The Byrds,,
Sinéad O’Connor,,
The Staple Singers,TRUE,
N.W.A,TRUE,
Bobbie Gentry,,
Geto Boys,TRUE,
PJ Harvey,,
Patsy Cline,,
Ann Peebles,TRUE,
Aerosmith,,
Glen Campbell,,
Rage Against the Machine,,
Hole,,
Don Henley,,
Funkadelic,TRUE,
Boston,,
Steely Dan,,
Mobb Deep,TRUE,
Stevie Nicks,,
Wilson Pickett,TRUE,
Tom Petty,,
New Order,,
Ike and Tina Turner,TRUE,
"Crosby, Stills, and Nash",,
Eminem feat. Dido,,
